Numéro de l'amendement,Partie de l'amendement,Sort de l'amendement,Désignation de l'article,Délibération,Auteur,Cosignataire(s),Instance,Etape du texte,URL Amendement,URL Amendement format XML
CE1044,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  M. Rousset, Mme Pantel, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brigand, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry, M. Vuibert et Mme Pochon",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1044,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001044.xml
CE1045,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  M. Rousset, Mme Pantel, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brigand, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry, M. Vuibert et Mme Pochon",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1045,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001045.xml
CE1046,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  M. Rousset, Mme Pantel, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brigand, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry, M. Vuibert et Mme Pochon",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1046,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001046.xml
CE1047,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Pantel, M. Rousset, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry et M. Vuibert",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1047,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001047.xml
CE423,,Non renseigné,Après l'article 14,Première délibération,Le Gac Didier,"  M. Bothorel, Mme Liliana Tanguy, M. Molac, Mme Dubré-Chirat, Mme Le Meur, M. Le Fur, M. Jacques, M. Bouyx, M. Ray, Mme Firmin Le Bodo et M. Buchou",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE423,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N000423.xml
CE56,,Non renseigné,Article 14,Première délibération,Bonnivard Émilie,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE56,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N000056.xml
CD10,,Adopté,Article 14,Première délibération,Pantel Sophie,"  M. Rousset, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, M. Roseren, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry et M. Vuibert",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD10,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000010.xml
CD109,,Non renseigné,Article 14,Première délibération,Blairy Emmanuel,"  Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud, Mme Sabatini et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD109,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000109.xml
CD11,,Non renseigné,Article 14,Première délibération,Pantel Sophie,"  Mme Rossi, M. Rousset, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Armand, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, M. Fabrice Brun, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brugerolles, Mme Brulebois, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cordier, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, M. Roseren, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry et M. Vuibert",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD11,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000011.xml
CD110,,Non renseigné,Après l'article 14,Première délibération,Blairy Emmanuel,"  Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Markowsky, M. Marchio, M. Meurin, Mme Roullaud et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD110,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000110.xml
CD111,,Non renseigné,Après l'article 14,Première délibération,Blairy Emmanuel,"  Mme Bouquin, M. Dutremble, M. Evrard, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud, Mme Sabatini et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD111,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000111.xml
CD112,,Non renseigné,Après l'article 14,Première délibération,Blairy Emmanuel,"  Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud, Mme Sabatini et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD112,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000112.xml
CD113,,Non renseigné,Après l'article 14,Première délibération,Blairy Emmanuel,"  Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD113,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000113.xml
CD12,,Non renseigné,Article 14,Première délibération,Pantel Sophie,"  M. Rousset, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Armand, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cordier, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry et M. Vuibert",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD12,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000012.xml
CD13,,Non renseigné,Article 14,Première délibération,Pantel Sophie,"  M. Rousset, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Armand, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cordier, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry et M. Vuibert",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD13,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000013.xml
CD134,,Rejeté,Article 14,Première délibération,Grangier Géraldine,"  M. Blairy, Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud, Mme Sabatini et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD134,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000134.xml
CD135,,Rejeté,Article 14,Première délibération,Grangier Géraldine,"  M. Blairy, Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud, Mme Sabatini et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD135,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000135.xml
CD136,,Rejeté,Article 14,Première délibération,Grangier Géraldine,"  M. Blairy, Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud, Mme Sabatini et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD136,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000136.xml
CD137,,Rejeté,Article 14,Première délibération,Grangier Géraldine,"  M. Blairy, Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud, Mme Sabatini et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD137,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000137.xml
