Numéro de l'amendement,Partie de l'amendement,Sort de l'amendement,Désignation de l'article,Délibération,Auteur,Cosignataire(s),Instance,Etape du texte,URL Amendement,URL Amendement format XML,Sort,Dispositif,Exposé sommaire
CD290,,Non renseigné,Article 14,Première délibération,Pochon Marie,"  Mme Voynet, M. Biteau, Mme Belluco, M. Nicolas Bonnet, Mme Ozenne, M. Raux, M. Thierry, M. Amirshahi, Mme Arrighi, Mme Autain, Mme Balage El Mariky, M. Ben Cheikh, M. Arnaud Bonnet, Mme Chatelain, M. Corbière, M. Davi, M. Duplessy, M. Fournier, Mme Garin, M. Damien Girard, M. Gustave, Mme Catherine Hervieu, M. Iordanoff, Mme Laernoes, M. Lahais, M. Lucas-Lundy, M. Peytavie, Mme Regol, M. Roumégas, Mme Sandrine Rousseau, M. Ruffin, Mme Sas, Mme Sebaihi, Mme Simonnet, Mme Taillé-Polian et M. Tavernier",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD290,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000290.xml,Irrecevable,,
CD292,,Non renseigné,Article 14,Première délibération,Dutremble Aurélien,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD292,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000292.xml,Irrecevable,,
CD323,,Non renseigné,Article 14,Première délibération,Voynet Dominique,"  Mme Pochon, Mme Belluco, M. Thierry et Mme Ozenne",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD323,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000323.xml,Irrecevable,,
CD371,,Non renseigné,Après l'article 14,Première délibération,Le Feur Sandrine,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD371,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000371.xml,Irrecevable,,
CD398,,Non renseigné,Après l'article 14,Première délibération,Thomin Mélanie,"  M. Potier, M. Barusseau, Mme Jourdan, M. Delautrette, M. Leseul, M. Roussel, M. Dufau, M. Fégné, M. Eskenazi, Mme Allemand, Mme Rossi et Mme Pantel",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD398,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000398.xml,Irrecevable,,
CD4,,Non renseigné,Article 14,Première délibération,Pantel Sophie,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD4,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000004.xml,Irrecevable,,
CD458,,Non renseigné,Article 14,Première délibération,Cosson Mickaël,"  Mme Josso, M. Ott, M. Pahun, M. Martineau, M. Balanant, Mme Bannier, Mme Bergantz, M. Blanchet, Mme Brocard, M. Croizier, Mme Darrieussecq, M. Daubié, M. Fesneau, M. Fuchs, Mme Perrine Goulet, M. Grelier, Mme Guillerm, M. Gumbs, M. Isaac-Sibille, M. Latombe, M. Lecamp, Mme Lingemann, M. Mandon, M. Mattei, Mme Mette, Mme Morel, M. Padey, M. Frédéric Petit, Mme Maud Petit, Mme Poueyto, M. Ramos, Mme Thillaye, M. Turquois et M. Philippe Vigier",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD458,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000458.xml,Irrecevable,,
CD5,,Non renseigné,Article 14,Première délibération,Pantel Sophie,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD5,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000005.xml,Irrecevable,,
CD507,,Non renseigné,Article 14,Première délibération,Meunier Manon,"  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, M. Arnault, Mme Belouassa-Cherifi, Mme Bentorki, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Cadalen, M. Caron, M. Carrière, Mme Cathala, M. Cernon, Mme Chikirou, M. Clouet, M. Coquerel, M. Coulomme, M. Delogu, M. Diouara, Mme Dufour, Mme Erodi, Mme Feld, M. Fernandes, Mme Ferrer, M. Gaillard, Mme Guetté, Mme Hamdane, Mme Hignet, M. Kerbrat, M. Lachaud, M. Lahmar, M. Laisney, M. Le Coq, M. Le Gall, Mme Leboucher, M. Legavre, Mme Legrain, Mme Lejeune, Mme Lepvraud, M. Léaument, Mme Élisa Martin, M. Maudet, Mme Maximi, Mme Mesmeur, M. Nilor, Mme Nosbé, Mme Obono, Mme Oziol, Mme Panot, M. Pilato, M. Piquemal, M. Portes, M. Prud'homme, M. Ratenon, M. Saint-Martin, M. Saintoul, Mme Soudais, Mme Stambach-Terrenoir, M. Aurélien Taché, Mme Taurinya, M. Tavel, Mme Trouvé et M. Vannier",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD507,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000507.xml,Irrecevable,,
CD51,,Non renseigné,Article 14,Première délibération,Rousset Jean-François,"  Mme Pantel, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Armand, M. Hollande, M. Roseren, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brigand, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cordier, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry, M. Vuibert et Mme Pochon",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD51,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000051.xml,Irrecevable,,
